dataset,feature,feature_value,prediction,pdp_n
Daily bike rentals,temp,0.1901567836734694,3340.4348599987466,50
Daily bike rentals,temp,0.20653508163265305,3351.6687982248714,50
Daily bike rentals,temp,0.22291337959183674,3371.4822059936582,50
Daily bike rentals,temp,0.2392916775510204,3391.241868401728,50
Daily bike rentals,temp,0.2556699755102041,3470.384896967038,50
Daily bike rentals,temp,0.27204827346938776,3538.3944336191635,50
Daily bike rentals,temp,0.2884265714285714,3726.5421751948397,50
Daily bike rentals,temp,0.3048048693877551,3755.1386185135216,50
Daily bike rentals,temp,0.32118316734693875,3784.4934345197375,50
Daily bike rentals,temp,0.3375614653061224,3810.287598201533,50
Daily bike rentals,temp,0.3539397632653061,3871.5433345132647,50
Daily bike rentals,temp,0.37031806122448985,3893.291428844489,50
Daily bike rentals,temp,0.3866963591836735,4006.8853704361804,50
Daily bike rentals,temp,0.4030746571428572,4077.758034934865,50
Daily bike rentals,temp,0.41945295510204084,4260.9218765981905,50
Daily bike rentals,temp,0.4358312530612245,4486.812350621769,50
Daily bike rentals,temp,0.45220955102040816,4662.024966878752,50
Daily bike rentals,temp,0.4685878489795918,4839.015440388656,50
Daily bike rentals,temp,0.4849661469387755,4907.605403364585,50
Daily bike rentals,temp,0.5013444448979592,4927.903992633372,50
Daily bike rentals,temp,0.5177227428571428,5023.146757645546,50
Daily bike rentals,temp,0.5341010408163265,5044.256987609471,50
Daily bike rentals,temp,0.5504793387755103,5057.9315775526,50
Daily bike rentals,temp,0.5668576367346939,5053.8249534184015,50
Daily bike rentals,temp,0.5832359346938776,5057.732717620243,50
Daily bike rentals,temp,0.5996142326530612,5069.814678239291,50
Daily bike rentals,temp,0.6159925306122449,5084.05619518118,50
Daily bike rentals,temp,0.6323708285714286,5087.23574787382,50
Daily bike rentals,temp,0.6487491265306122,5093.853393213813,50
Daily bike rentals,temp,0.6651274244897959,5087.842876884223,50
Daily bike rentals,temp,0.6815057224489797,5077.573875225222,50
Daily bike rentals,temp,0.6978840204081633,5070.6605475065435,50
Daily bike rentals,temp,0.714262318367347,5052.730682203859,50
Daily bike rentals,temp,0.7306406163265307,5029.154159191269,50
Daily bike rentals,temp,0.7470189142857143,4997.886720719127,50
Daily bike rentals,temp,0.763397212244898,4962.087545507358,50
Daily bike rentals,temp,0.7797755102040816,4915.774955051189,50
Daily bike rentals,temp,0.7961538081632653,4884.9788269749815,50
Daily bike rentals,temp,0.812532106122449,4815.532686896178,50
Daily bike rentals,temp,0.8289104040816326,4752.647222919847,50
Daily bike rentals,temp,0.8452887020408163,4725.338957467466,50
Daily bike rentals,temp,0.861667,4724.518103467466,50
Daily bike rentals,hum,0,4584.184578151402,50
Daily bike rentals,hum,0.019846938775510206,4584.184578151402,50
Daily bike rentals,hum,0.03969387755102041,4584.184578151402,50
Daily bike rentals,hum,0.05954081632653062,4584.184578151402,50
Daily bike rentals,hum,0.07938775510204082,4584.184578151402,50
Daily bike rentals,hum,0.09923469387755103,4586.447087818069,50
Daily bike rentals,hum,0.11908163265306124,4586.447087818069,50
Daily bike rentals,hum,0.13892857142857146,4586.447087818069,50
Daily bike rentals,hum,0.15877551020408165,4588.782059818069,50
Daily bike rentals,hum,0.17862244897959184,4590.071370484736,50
Daily bike rentals,hum,0.19846938775510206,4590.687960484735,50
Daily bike rentals,hum,0.21831632653061228,4591.307086484736,50
Daily bike rentals,hum,0.23816326530612247,4591.418982484735,50
Daily bike rentals,hum,0.25801020408163267,4592.422712484736,50
Daily bike rentals,hum,0.2778571428571429,4591.400431818069,50
Daily bike rentals,hum,0.2977040816326531,4591.4712831514025,50
Daily bike rentals,hum,0.3175510204081633,4592.222388579974,50
Daily bike rentals,hum,0.3373979591836735,4596.778999341878,50
Daily bike rentals,hum,0.3572448979591837,4601.900377627593,50
Daily bike rentals,hum,0.37709183673469393,4602.68891829426,50
Daily bike rentals,hum,0.3969387755102041,4603.67568124664,50
Daily bike rentals,hum,0.4167857142857143,4605.501903738704,50
Daily bike rentals,hum,0.43663265306122456,4607.321529570349,50
Daily bike rentals,hum,0.45647959183673475,4611.065506356452,50
Daily bike rentals,hum,0.47632653061224495,4603.644586240589,50
Daily bike rentals,hum,0.49617346938775514,4615.074751294584,50
Daily bike rentals,hum,0.5160204081632653,4605.415791004468,50
Daily bike rentals,hum,0.5358673469387756,4587.5876131423065,50
Daily bike rentals,hum,0.5557142857142858,4582.555210437024,50
Daily bike rentals,hum,0.575561224489796,4570.429847716662,50
Daily bike rentals,hum,0.5954081632653062,4574.619583490329,50
Daily bike rentals,hum,0.6152551020408163,4572.907140022542,50
Daily bike rentals,hum,0.6351020408163266,4555.544276463461,50
Daily bike rentals,hum,0.6549489795918368,4521.685724845427,50
Daily bike rentals,hum,0.674795918367347,4499.231018841306,50
Daily bike rentals,hum,0.6946428571428572,4462.912555478501,50
Daily bike rentals,hum,0.7144897959183674,4414.515120537162,50
Daily bike rentals,hum,0.7343367346938776,4402.665998507355,50
Daily bike rentals,hum,0.7541836734693879,4347.334622852405,50
Daily bike rentals,hum,0.774030612244898,4253.07517541221,50
Daily bike rentals,hum,0.7938775510204082,4209.824749993663,50
Daily bike rentals,hum,0.8137244897959185,4144.820554286624,50
Daily bike rentals,hum,0.8335714285714286,4025.7977557488975,50
Daily bike rentals,hum,0.8534183673469389,3935.13374403387,50
Daily bike rentals,hum,0.8732653061224491,3883.4797280529,50
Daily bike rentals,hum,0.8931122448979593,3839.946959278363,50
Daily bike rentals,hum,0.9129591836734695,3774.4980435831503,50
Daily bike rentals,hum,0.9328061224489796,3731.9876716783883,50
Daily bike rentals,hum,0.9526530612244899,3708.569789987912,50
Daily bike rentals,hum,0.9725,3704.0490855434673,50
Daily bike rentals,windspeed,0.0223917,4558.269379662628,50
Daily bike rentals,windspeed,0.03229111428571429,4558.269379662628,50
Daily bike rentals,windspeed,0.042190528571428576,4558.209058519771,50
Daily bike rentals,windspeed,0.05208994285714286,4554.084056868977,50
Daily bike rentals,windspeed,0.061989357142857145,4575.3453555095,50
Daily bike rentals,windspeed,0.07188877142857143,4569.068475913939,50
Daily bike rentals,windspeed,0.08178818571428571,4576.820340978535,50
Daily bike rentals,windspeed,0.09168760000000001,4550.9111411653475,50
Daily bike rentals,windspeed,0.10158701428571429,4540.842905298189,50
Daily bike rentals,windspeed,0.11148642857142857,4530.599459552197,50
Daily bike rentals,windspeed,0.12138584285714286,4499.082508263594,50
Daily bike rentals,windspeed,0.13128525714285716,4483.126994557343,50
Daily bike rentals,windspeed,0.14118467142857144,4478.071448521802,50
Daily bike rentals,windspeed,0.15108408571428572,4470.338584506859,50
Daily bike rentals,windspeed,0.1609835,4459.286261823846,50
Daily bike rentals,windspeed,0.17088291428571428,4453.606568879434,50
Daily bike rentals,windspeed,0.18078232857142856,4458.106391788245,50
Daily bike rentals,windspeed,0.19068174285714284,4437.344866243693,50
Daily bike rentals,windspeed,0.20058115714285712,4429.492812153672,50
Daily bike rentals,windspeed,0.21048057142857146,4424.6141430041225,50
