dataset,feature_x,feature_y,feature_x_value,feature_y_value,prediction,pdp_n
Daily bike rentals,temp,hum,0.159447475,0.16208333333333333,3418.876396297297,50
Daily bike rentals,temp,hum,0.159447475,0.20260416666666667,3418.876396297297,50
Daily bike rentals,temp,hum,0.159447475,0.24312499999999998,3419.144408297297,50
Daily bike rentals,temp,hum,0.159447475,0.2836458333333333,3418.6047509639634,50
Daily bike rentals,temp,hum,0.159447475,0.32416666666666666,3419.527034392535,50
Daily bike rentals,temp,hum,0.159447475,0.3646875,3422.245539725868,50
Daily bike rentals,temp,hum,0.159447475,0.40520833333333334,3410.3854163925353,50
Daily bike rentals,temp,hum,0.159447475,0.4457291666666667,3405.483621692823,50
Daily bike rentals,temp,hum,0.159447475,0.48624999999999996,3422.483489878547,50
Daily bike rentals,temp,hum,0.159447475,0.5267708333333333,3427.760548335179,50
Daily bike rentals,temp,hum,0.159447475,0.5672916666666666,3423.455352429679,50
Daily bike rentals,temp,hum,0.159447475,0.6078125,3413.663785993232,50
Daily bike rentals,temp,hum,0.159447475,0.6483333333333333,3374.3737958744623,50
Daily bike rentals,temp,hum,0.159447475,0.6888541666666667,3303.186558388853,50
Daily bike rentals,temp,hum,0.159447475,0.729375,3230.4367639275597,50
Daily bike rentals,temp,hum,0.159447475,0.7698958333333333,3135.463194968009,50
Daily bike rentals,temp,hum,0.159447475,0.8104166666666667,3027.42223061126,50
Daily bike rentals,temp,hum,0.159447475,0.8509375,2870.068232931556,50
Daily bike rentals,temp,hum,0.159447475,0.8914583333333334,2824.929984382714,50
Daily bike rentals,temp,hum,0.159447475,0.9319791666666667,2784.2080481966586,50
Daily bike rentals,temp,hum,0.159447475,0.9725,2768.8724903474517,50
Daily bike rentals,temp,hum,0.1928865,0,3437.75947121216,50
Daily bike rentals,temp,hum,0.1928865,0.04052083333333333,3437.75947121216,50
Daily bike rentals,temp,hum,0.1928865,0.08104166666666666,3437.75947121216,50
Daily bike rentals,temp,hum,0.1928865,0.12156249999999999,3439.665930545493,50
Daily bike rentals,temp,hum,0.1928865,0.16208333333333333,3443.6224752121598,50
Daily bike rentals,temp,hum,0.1928865,0.20260416666666667,3443.6224752121598,50
Daily bike rentals,temp,hum,0.1928865,0.24312499999999998,3443.95016721216,50
Daily bike rentals,temp,hum,0.1928865,0.2836458333333333,3443.4105098788264,50
Daily bike rentals,temp,hum,0.1928865,0.32416666666666666,3444.332793307398,50
Daily bike rentals,temp,hum,0.1928865,0.3646875,3447.051298640731,50
Daily bike rentals,temp,hum,0.1928865,0.40520833333333334,3435.6398146407314,50
Daily bike rentals,temp,hum,0.1928865,0.4457291666666667,3430.9624172743524,50
Daily bike rentals,temp,hum,0.1928865,0.48624999999999996,3449.2285080055312,50
Daily bike rentals,temp,hum,0.1928865,0.5267708333333333,3454.6228724621633,50
Daily bike rentals,temp,hum,0.1928865,0.5672916666666666,3449.9418237947584,50
Daily bike rentals,temp,hum,0.1928865,0.6078125,3438.629444691645,50
Daily bike rentals,temp,hum,0.1928865,0.6483333333333333,3397.0671902178965,50
Daily bike rentals,temp,hum,0.1928865,0.6888541666666667,3320.951541398954,50
Daily bike rentals,temp,hum,0.1928865,0.729375,3245.5662056043275,50
Daily bike rentals,temp,hum,0.1928865,0.7698958333333333,3148.9963779781096,50
Daily bike rentals,temp,hum,0.1928865,0.8104166666666667,3039.8775249546948,50
Daily bike rentals,temp,hum,0.1928865,0.8509375,2881.348447941657,50
Daily bike rentals,temp,hum,0.1928865,0.8914583333333334,2833.6831791705927,50
Daily bike rentals,temp,hum,0.1928865,0.9319791666666667,2792.902052984537,50
Daily bike rentals,temp,hum,0.1928865,0.9725,2777.5664951353306,50
Daily bike rentals,temp,hum,0.226325525,0,3469.2290033580257,50
Daily bike rentals,temp,hum,0.226325525,0.04052083333333333,3469.2290033580257,50
Daily bike rentals,temp,hum,0.226325525,0.08104166666666666,3469.2290033580257,50
Daily bike rentals,temp,hum,0.226325525,0.12156249999999999,3471.954074358026,50
Daily bike rentals,temp,hum,0.226325525,0.16208333333333333,3475.9852430246924,50
Daily bike rentals,temp,hum,0.226325525,0.20260416666666667,3476.3510930246925,50
Daily bike rentals,temp,hum,0.226325525,0.24312499999999998,3476.6787850246924,50
Daily bike rentals,temp,hum,0.226325525,0.2836458333333333,3476.594745691359,50
Daily bike rentals,temp,hum,0.226325525,0.32416666666666666,3477.3611891199307,50
Daily bike rentals,temp,hum,0.226325525,0.3646875,3480.079694453264,50
Daily bike rentals,temp,hum,0.226325525,0.40520833333333334,3471.373477786597,50
Daily bike rentals,temp,hum,0.226325525,0.4457291666666667,3466.778643896409,50
Daily bike rentals,temp,hum,0.226325525,0.48624999999999996,3481.7512286275874,50
Daily bike rentals,temp,hum,0.226325525,0.5267708333333333,3486.9313930842195,50
Daily bike rentals,temp,hum,0.226325525,0.5672916666666666,3483.4817483215766,50
Daily bike rentals,temp,hum,0.226325525,0.6078125,3473.5263717898915,50
Daily bike rentals,temp,hum,0.226325525,0.6483333333333333,3432.699454871699,50
Daily bike rentals,temp,hum,0.226325525,0.6888541666666667,3353.4659445916036,50
Daily bike rentals,temp,hum,0.226325525,0.729375,3276.534894892215,50
Daily bike rentals,temp,hum,0.226325525,0.7698958333333333,3178.650267265997,50
Daily bike rentals,temp,hum,0.226325525,0.8104166666666667,3065.382112236413,50
Daily bike rentals,temp,hum,0.226325525,0.8509375,2902.7361045260727,50
Daily bike rentals,temp,hum,0.226325525,0.8914583333333334,2851.975705088342,50
Daily bike rentals,temp,hum,0.226325525,0.9319791666666667,2810.4006462356197,50
Daily bike rentals,temp,hum,0.226325525,0.9725,2794.628528386413,50
Daily bike rentals,temp,hum,0.25976455,0,3576.411410198536,50
Daily bike rentals,temp,hum,0.25976455,0.04052083333333333,3576.411410198536,50
Daily bike rentals,temp,hum,0.25976455,0.08104166666666666,3576.411410198536,50
Daily bike rentals,temp,hum,0.25976455,0.12156249999999999,3580.134213198536,50
Daily bike rentals,temp,hum,0.25976455,0.16208333333333333,3586.7488958652025,50
Daily bike rentals,temp,hum,0.25976455,0.20260416666666667,3587.1147458652026,50
Daily bike rentals,temp,hum,0.25976455,0.24312499999999998,3588.0139598652027,50
Daily bike rentals,temp,hum,0.25976455,0.2836458333333333,3588.2284305318694,50
Daily bike rentals,temp,hum,0.25976455,0.32416666666666666,3589.0001139604406,50
Daily bike rentals,temp,hum,0.25976455,0.3646875,3591.7206559604406,50
Daily bike rentals,temp,hum,0.25976455,0.40520833333333334,3586.0628086271076,50
Daily bike rentals,temp,hum,0.25976455,0.4457291666666667,3582.8557109280614,50
Daily bike rentals,temp,hum,0.25976455,0.48624999999999996,3598.8536486592398,50
Daily bike rentals,temp,hum,0.25976455,0.5267708333333333,3604.383746368397,50
Daily bike rentals,temp,hum,0.25976455,0.5672916666666666,3596.3134836057543,50
Daily bike rentals,temp,hum,0.25976455,0.6078125,3583.629027074069,50
Daily bike rentals,temp,hum,0.25976455,0.6483333333333333,3543.448178026006,50
Daily bike rentals,temp,hum,0.25976455,0.6888541666666667,3462.430525533485,50
Daily bike rentals,temp,hum,0.25976455,0.729375,3383.3109905960014,50
Daily bike rentals,temp,hum,0.25976455,0.7698958333333333,3289.0232964935926,50
Daily bike rentals,temp,hum,0.25976455,0.8104166666666667,3165.8157862075977,50
Daily bike rentals,temp,hum,0.25976455,0.8509375,2992.8620954420844,50
Daily bike rentals,temp,hum,0.25976455,0.8914583333333334,2940.1047590519725,50
Daily bike rentals,temp,hum,0.25976455,0.9319791666666667,2895.119179088139,50
Daily bike rentals,temp,hum,0.25976455,0.9725,2877.0151892389326,50
Daily bike rentals,temp,hum,0.29320357499999994,0,3829.078482246518,50
Daily bike rentals,temp,hum,0.29320357499999994,0.04052083333333333,3829.078482246518,50
Daily bike rentals,temp,hum,0.29320357499999994,0.08104166666666666,3829.078482246518,50
Daily bike rentals,temp,hum,0.29320357499999994,0.12156249999999999,3833.5935992465184,50
Daily bike rentals,temp,hum,0.29320357499999994,0.16208333333333333,3841.668711913185,50
Daily bike rentals,temp,hum,0.29320357499999994,0.20260416666666667,3842.034561913185,50
Daily bike rentals,temp,hum,0.29320357499999994,0.24312499999999998,3843.513989913185,50
Daily bike rentals,temp,hum,0.29320357499999994,0.2836458333333333,3843.5973965798516,50
Daily bike rentals,temp,hum,0.29320357499999994,0.32416666666666666,3844.419992008423,50
Daily bike rentals,temp,hum,0.29320357499999994,0.3646875,3846.641904008423,50
Daily bike rentals,temp,hum,0.29320357499999994,0.40520833333333334,3839.1834253417564,50
Daily bike rentals,temp,hum,0.29320357499999994,0.4457291666666667,3839.0661460309884,50
Daily bike rentals,temp,hum,0.29320357499999994,0.48624999999999996,3859.6358111907384,50
Daily bike rentals,temp,hum,0.29320357499999994,0.5267708333333333,3872.320634787564,50
Daily bike rentals,temp,hum,0.29320357499999994,0.5672916666666666,3858.5619569773016,50
Daily bike rentals,temp,hum,0.29320357499999994,0.6078125,3858.8720515769296,50
